t,x,y,z
0.0,30.0,10.0,10.0
0.25,27.79957011956714,9.992772746794422,9.997741658767046
0.5,25.754640824337766,9.970743794866685,9.985614713300764
0.75,23.850026978470215,9.933422708461386,9.959886300404296
1.0,22.073322112185075,9.880371291259397,9.919158532734219
1.25,20.4143210882464,9.811219429579399,9.862746663668327
1.5,18.864581199651834,9.725682325543733,9.790225818500529
1.75,17.41706949963752,9.623578838830825,9.701314579267395
2.0,16.06587061159703,9.504850378998118,9.595854562746702
2.25,14.80593994274152,9.369579537242535,9.473818124016962
2.5,13.632892773428292,9.218007408015072,9.33532336113989
2.75,12.542823307475217,9.050548349034589,9.180649740089798
3.0,11.532150324370562,8.867800802383206,9.010251507203115
3.25,10.59748786639321,8.67055279405994,8.824767029252316
3.5,9.735540512311083,8.459780884029481,8.625022650845674
3.75,8.943023262244342,8.236641675437745,8.41202989385208
4.0,8.216605933826255,8.00245550280706,8.186975244819369
4.25,7.5528813427000205,7.758682560622686,7.951202320562322
4.5,6.948355571102317,7.506892426529107,7.706186804973619
4.75,6.399457531385596,7.248728575167074,7.4535052527865195
5.0,5.902564037562557,6.985869965792958,7.194799473934932
5.25,5.454035909391623,6.719992038708684,6.931738506852025
5.5,5.050260385272097,6.452729434599845,6.665980504491168
5.75,4.687695342272565,6.185642471542027,6.399136738104534
6.0,4.36291145488657,5.920188936474461,6.132739590847823
6.25,4.072629337083065,5.6577021600741855,5.868215869320983
6.5,3.81374974638375,5.399375740565796,5.6068663435859785
6.75,3.583375930587727,5.146254743666814,5.349851987434152
7.0,3.3788280444357084,4.899232786460453,5.098186015886645
7.25,3.1976502216404503,4.659054135015935,4.852731955477182
7.5,3.0376112928998693,4.426319807037693,4.614206318932755
7.75,2.8967003580365986,4.2014966491706005,4.383185046124465
8.0,2.7731184643104467,3.9849284240062177,4.160112714750683
8.25,2.665267571291575,3.7768480622776948,3.94531362155725
8.5,2.571737841051286,3.5773903832004943,3.739004109482036
8.75,2.4912941071031827,3.386604739011618,3.5413048946395733
9.0,2.4228622075987745,3.204467183136955,3.3522536450523712
9.25,2.3655156833499476,3.0308918875230644,3.171816863510364
9.5,2.3184632024090384,2.8657416387543915,2.9999010995485444
9.75,2.281036945194841,2.7088373249875612,2.8363631609788844
10.0,2.2526820924773467,2.5599663877304715,2.681019414855288
10.25,2.232947482006361,2.4188902571232247,2.533654041260041
10.5,2.2214774473210936,2.2853508195758727,2.39402620622489
10.75,2.218004823176385,2.1590759854452712,2.261876519363426
11.0,2.222345062014726,2.039784434945734,2.136932257762656
11.25,2.234391416761545,1.9271896243043007,2.0189121553530525
11.5,2.2541111128224296,1.821003134124852,1.907530231662152
11.75,2.281542435876813,1.7209374386367424,1.8024986687675157
12.0,2.316792728078781,1.6267081688731633,1.7035317863791164
12.25,2.360037083426233,1.538035938609387,1.6103462271677191
12.5,2.411517888122478,1.4546477922855905,1.5226644806818341
12.75,2.4715449582964677,1.3762783311312745,1.4402153542941731
13.0,2.5404963416873354,1.302670564726534,1.3627354378801309
13.25,2.618819666749121,1.233576530864852,1.289969674566687
13.5,2.7070340270925723,1.1687577203937778,1.2216721460503137
13.75,2.8057323184076695,1.107985339259911,1.157606380917869
14.0,2.9155839860861774,1.051040435315825,1.0975455896471724
14.25,3.0373381217525903,0.9977139136641215,1.041272815653594
14.5,3.1718268334085282,0.9478064609240917,0.9885809163118796
14.75,3.319968814495198,0.9011283957775593,0.9392724790539045
15.0,3.482773019364192,0.8574994605998426,0.8931596688981182
15.25,3.6613423361443522,0.8167485667585458,0.850064003834551
15.5,3.85687713444959,0.7787135042385006,0.8098161071890119
15.75,4.070678537362844,0.7432406246444511,0.7722554100752691
16.0,4.304151247093277,0.7101845052298588,0.7372298315042793
