t,x,y,z
0.0,30.0,10.0,10.0
0.25,27.55001392744122,9.991906071150796,9.999993282385452
0.5,25.292446740276052,9.967189646746814,9.999945744562204
0.75,23.20668148846236,9.925236020628379,9.999815204884934
1.0,21.276009542026767,9.865495844522208,9.99955812955249
1.25,19.486816386698834,9.78750702727468,9.999129825757572
1.5,17.82793828470343,9.69091906440308,9.998484693081624
1.75,16.290143070780555,9.575519285244779,9.997576535805376
2.0,14.865703234696344,9.441259896775703,9.996358942996476
2.25,13.548038986909834,9.288284501329487,9.994785734228689
2.5,12.331416997434545,9.116952247721645,9.992811467186025
2.75,11.210696071188325,8.927857358387822,9.99039200013617
3.0,10.18111501620481,8.721841766744038,9.98748509255688
3.25,9.238120833952703,8.499998515191193,9.984051026313693
3.5,8.37723670573151,8.26366423327875,9.980053217879176
3.75,7.593969555354728,8.014399502901354,9.97545879795578
4.0,6.883755963079792,7.75395735193061,9.970239123779896
4.25,6.241943653823527,7.484241109422367,9.964370199042305
4.5,5.663803745794987,7.207254240539608,9.957832975361539
4.75,5.1445671653830685,6.925045526487454,9.950613522766366
5.0,4.679477431278687,6.639653569981379,9.942703060398681
5.25,4.263851663508813,6.353054464259683,9.93409785150956
5.5,3.8931423670828686,6.067115845720973,9.924798976134069
5.75,3.562993832728134,5.783559721282664,9.914811999632853
6.0,3.26928887685368,5.503935283597035,9.904146561912253
6.25,3.008183559293556,5.229601919231469,9.892815912247235
6.5,2.776129232593315,4.961721685322815,9.880836415996374
6.75,2.569882636235906,4.7012600753684834,9.868227051236124
7.0,2.386505622433077,4.448993204833609,9.855008922173386
7.25,2.2233565804020228,4.205519984665851,9.841204793447652
7.5,2.0780756969354996,3.9712774522285708,9.826838662727317
7.75,1.948566082889967,3.7465579358416976,9.811935374577024
8.0,1.8329724968389247,3.5315269015943946,9.796520278845936
8.25,1.729659090737916,3.326240542331181,9.780618935902442
8.5,1.6371871907174562,3.130662627387827,9.764256863357296
8.75,1.5542939094315467,2.9446800732969827,9.747459325478712
9.0,1.4798720478807825,2.768117071593997,9.73025116015129
9.25,1.412951580750016,2.60074767669123,9.712656639393586
9.5,1.352682872113843,2.4423068557931877,9.69469935899912
9.75,1.298321593097901,2.2925000207433586,9.676402155754014
10.0,1.2492153458378037,2.151011207195345,9.657787045344138
10.25,1.2047918500916273,2.0175099705927604,9.638875180219998
10.5,1.1645485820928438,1.891657151578011,9.619686823427116
10.75,1.128043731342073,1.7731096909863513,9.600241334025776
11.0,1.0948883157954274,1.6615245101450522,9.580557165917043
11.25,1.0647393445484492,1.556561695179482,9.560651873498738
11.5,1.0372938850369757,1.4578870193551121,9.540542125213001
11.75,1.0122839251421825,1.365173915825692,9.520243722839565
12.0,0.9894719298764939,1.2781050162590548,9.499771624169115
12.25,0.9686469913823668,1.1963732730654408,9.479139970077705
12.5,0.9496215003743012,1.11968277976743,9.458362113237031
12.75,0.9322282632174288,1.0477493223147682,9.437450648575036
13.0,0.9163180028733356,0.9803007049057968,9.416417445005488
13.25,0.9017571936335445,0.9170769060133849,9.395273677346268
13.5,0.8884261804838249,0.8578300902842588,9.374029858359913
13.75,0.8762175435358703,0.8023244933801141,9.352695870988311
14.0,0.8650346762058695,0.7503362278735427,9.331280999659082
14.25,0.8547905450279434,0.7016530120654239,9.309793961134991
14.5,0.8454066070080135,0.6560738428225956,9.288242934587572
14.75,0.8368118640351793,0.6134086310428433,9.266635590605736
15.0,0.8289420343789363,0.5734778101041226,9.24497911912052
15.25,0.8217388256542968,0.5361119161283241,9.223280256545483
15.5,0.8151492966946216,0.5011511651103308,9.201545311495142
15.75,0.8091252956747582,0.468445020033532,9.17978018952903
16.0,0.8036229646840604,0.43785175954149425,9.157990416689572
16.25,0.7986023025344758,0.4092380503565613,9.136181161900286
16.5,0.7940267779981685,0.3824785257055869,9.11435725828338
16.75,0.7898629860010844,0.3574553723865471,9.09252322343602
17.0,0.7860803438340362,0.3340579319943734,9.070683278513867
17.25,0.7826508205053201,0.3121823139313407,9.048841366335777
17.5,0.7795486951361045,0.2917310207733859,9.027001168556533
17.75,0.7767503416744672,0.2726125891626777,9.005166121843443
18.0,0.7742340367575005,0.2547412476670901,8.983339433062831
18.25,0.7719797876981862,0.2380365892291613,8.96152409361157
18.5,0.7699691774760935,0.22242325554778095,8.93972289304067
18.75,0.7681852251185078,0.20783063621927853,8.917938431900275
19.0,0.766612262500394,0.19419259233060138,8.896173133449865
19.25,0.7652358206935646,0.18144718353947953,8.874429255084525
19.5,0.7640425284289843,0.16953641375524203,8.852708898905153
19.75,0.7630200203382271,0.1584059909573787,8.831014021629123
20.0,0.7621568539711915,0.1480051005185511,8.809346443880637
20.25,0.7614424342039321,0.1382861894297503,8.787707858975194
20.5,0.7608669443501086,0.12920476183071675,8.76609984119612
20.75,0.7604212846786695,0.12071919146111786,8.744523853355817
21.0,0.7600970153028711,0.11279053981843432,8.722981254083948
21.25,0.7598863045300499,0.10538238686821735,8.701473304585784
21.5,0.7597818817988252,0.098460672258077,8.680001174957093
21.75,0.759776994697175,0.09199354611912591,8.658565950096067
22.0,0.7598653693588696,0.08595122753237264,8.63716863529121
22.25,0.7600411742932996,0.08030587216609261,8.615810161431945
22.5,0.7602989875921742,0.07503144972861395,8.594491389820558
22.75,0.7606337663317236,0.07010362662850074,8.57321311676582
23.0,0.7610408186778358,0.06549965693036354,8.551976077842328
23.25,0.7615157782969507,0.061198280426984844,8.530780951863372
23.5,0.7620545807607477,0.05717962687056601,8.509628364605897
23.75,0.7626534416021115,0.053425125247247914,8.488518892332216
24.0,0.7633088363854337,0.04991742023525423,8.467453065027907
24.25,0.7640174822158606,0.046640293465282916,8.44643136944849
24.5,0.764776320559912,0.04357858928967866,8.425454251987208
24.75,0.7655825014682257,0.04071814575887557,8.40452212133816
25.0,0.7664333690176096,0.038045730163554,8.383635350980141
25.25,0.7673264477629496,0.03554897833446823,8.362794281512885
25.5,0.7682594301109673,0.033216337461064366,8.341999222855458
25.75,0.7692301648873477,0.031037013850869356,8.321250456252812
26.0,0.7702366464991531,0.0290009229200673,8.300548236194812
26.25,0.7712770049563851,0.027098642763358854,8.279892792196387
26.5,0.7723494966435481,0.025321370880321187,8.259284330455369
26.75,0.7734524957551124,0.023660883719943585,8.238723035401241
27.0,0.7745844862603128,0.022109498470156076,8.21820907115696
27.25,0.7757440544860553,0.02066003756736752,8.197742582895879
27.5,0.7769298822915556,0.019305795843908426,8.177323698097053
27.75,0.7781407406066961,0.018040509274535144,8.156952527738868
28.0,0.779375483474154,0.016858326013371498,8.136629167404633
28.25,0.7806330425246625,0.015753779414665464,8.116353698311956
28.5,0.7819124218181965,0.014721762740686052,8.096126188277344
28.75,0.7832126929826857,0.013757505253486306,8.075946692627754
29.0,0.7845329907811109,0.012856550317776182,8.05581525503505
29.25,0.7858725089400774,0.012014734743995949,8.035731908302983
29.5,0.7872304962406262,0.011228169382671205,8.015696675106302
29.75,0.7886062529003668,0.010493221113282327,7.9957095686765305
30.0,0.7899991272108476,0.009806496063505393,7.9757705934406955
30.25,0.7914085123814517,0.009164823835095997,7.955879745621627
