t,x,y,z
0.0,30.0,10.0,
0.25,31.145768822143243,10.003493335951104,
0.5,32.33163565612721,10.013881811908522,
0.75,33.55512314873737,10.031023304644668,
1.0,34.813329052934584,10.05477016755667,
1.25,36.10293246079866,10.084970343638405,
1.5,37.42020947349529,10.121468435891614,
1.75,38.76105880398112,10.16410673584639,
2.0,40.12103717394541,10.212726201464278,
2.25,41.495403970673344,10.267167366223168,
2.5,42.8791745649036,10.327271173810189,
2.75,44.26718095081679,10.392879776235347,
3.0,45.65413797546427,10.463837223127266,
3.25,47.03471346837186,10.539990096003946,
3.5,48.403600105604966,10.621188055937933,
3.75,49.75558685770333,10.7072843136035,
4.0,51.085627862570476,10.79813604280601,
4.25,52.38890673181702,10.89360470754133,
4.5,53.66089447596225,10.99355631423428,
4.75,54.897399596273445,11.097861614919566,
5.0,56.09460918504886,11.206396241371738,
5.25,57.24912034624593,11.31904078363348,
5.5,58.357961778757186,11.435680819510461,
5.75,59.4186054206667,11.556206900417813,
6.0,60.4289686501905,11.680514489066784,
6.25,61.38740792925452,11.808503868819523,
6.5,62.2927047740708,11.940080015450791,
6.75,63.14404508686093,12.07515244738933,
7.0,63.94099318601758,12.213635053127579,
7.25,64.68346198609362,12.355445890044283,
7.5,65.37168007338032,12.50050697627126,
7.75,66.00615708195899,12.648744071430508,
8.0,66.58764851905777,12.80008644045082,
8.25,67.11712071344598,12.954466612948575,
8.5,67.59571674299947,13.111820137514359,
8.75,68.02472387326897,13.272085332052793,
9.0,68.405543054535,13.435203030096536,
9.25,68.73966078810268,13.601116326076813,
9.5,69.02862342204277,13.769770322276669,
9.75,69.27401420672231,13.941111874005019,
10.0,69.47743297189767,14.115089336030048,
10.25,69.64047841988774,14.291652310100813,
10.5,69.7647328971864,14.470751394712247,
10.75,69.85174956893115,14.652337934252097,
11.0,69.90304173267144,14.836363770992195,
11.25,69.9200741474449,15.022780996965091,
11.5,69.90425615246923,15.211541706529664,
11.75,69.85693635419929,15.402597750088283,
12.0,69.77939875151272,15.595900485850262,
12.25,69.67286005848884,15.791400531132025,
12.5,69.53846803006391,15.989047514191816,
12.75,69.37730072290726,16.188789820636917,
13.0,69.19036651624293,16.390574335610772,
13.25,68.97860468400464,16.594346184882617,
13.5,68.74288633763268,16.800048476451558,
13.75,68.48401598529644,17.007622024965045,
14.0,68.2027332695133,17.217005075752787,
14.25,67.89971496631217,17.42813301554191,
14.5,67.57557704022683,17.640938084074367,
14.75,67.23087682193098,17.855349072111753,
15.0,66.86611529367768,18.071291003335226,
15.25,66.48173942045979,18.288684800937588,
15.5,66.07814446480768,18.50744693970455,
15.75,65.6556762231411,18.72748908438229,
16.0,65.21463312159149,18.948717715128282,
16.25,64.75526810921133,19.17103374084251,
16.5,64.27779037206336,19.394332095687822,
16.75,63.78236803004917,19.618501241057515,
17.0,63.269129565977146,19.84342271671381,
17.25,62.7381653610048,20.06897064899931,
17.5,62.18952933504541,20.295011212185425,
17.75,61.62324040807073,20.521402059931525,
18.0,61.03928388931777,20.747991716127753,
18.25,60.437612783022445,20.974618921814375,
18.5,59.81814899930309,21.201111934870678,
18.75,59.18078445881683,21.427287779166335,
19.0,58.525382079811514,21.652951439868215,
19.25,57.851776650826736,21.87789500071029,
19.5,57.1597760314305,22.101896687429768,
19.75,56.44916203722834,22.324719849893288,
20.0,55.71969128651092,22.54611186837102,
20.25,54.97109614337214,22.765802952530386,
20.5,54.203085668095746,22.983504842125765,
20.75,53.4153466757736,23.19890939281575,
21.0,52.60754492293391,23.41168703339496,
21.25,51.77932644195788,23.62148508072749,
21.5,50.930319043063065,23.82792589866899,
21.75,50.06013400363199,24.03060488726444,
22.0,49.1683679646642,24.22908828850865,
22.25,48.25460542692394,24.422910767988718,
22.5,47.31842221837046,24.611572723681633,
22.75,46.35938860942576,24.794537401856832,
23.0,45.37707379903674,24.971227673031816,
23.25,44.37105119191209,25.14102249864255,
23.5,43.340904816069866,25.30325304557724,
23.75,42.286237111886095,25.457198407224805,
24.0,41.20667832090374,25.602080889898467,
24.25,40.10189784540034,25.737060838029237,
24.5,38.97161808080006,25.861230972287295,
24.75,37.81563094694619,25.973610183408987,
25.0,36.63381784623195,26.073136773325807,
25.25,35.42617353765117,26.15866114624464,
25.5,34.19283468463759,26.2289379702016,
25.75,32.934113846141095,26.282617826074375,
26.0,31.650539639075426,26.318238477256056,
26.25,30.34290396284387,26.334216020760167,
26.5,29.012317089657905,26.328836116625858,
26.75,27.660271330989225,26.30024592715564,
27.0,26.28871336902086,26.24644725022131,
27.25,24.900125027900923,26.16529219581388,
27.5,23.497612231169278,26.054482858755613,
27.75,22.084998690820903,25.911576785397592,
28.0,20.666919200461493,25.734001376588452,
28.25,19.248907499919937,25.519080830098094,
28.5,17.837465773543066,25.264080126421238,
28.75,16.440101650596887,24.96627199329587,
29.0,15.065312407188777,24.62303253276209,
29.25,13.722493058759632,24.23197167347932,
29.5,12.421743057818313,23.791102157003962,
29.75,11.173550145554993,23.299046662310587,
30.0,9.98834164232276,22.755274687940172,
30.25,8.875915263605593,22.160350076036263,
30.5,7.844792579615936,21.51615650973655,
30.75,6.901573611577018,20.826058073195018,
31.0,6.050396270321009,20.09494797881368,
31.25,5.292607869296417,19.3291490849654,
31.5,4.626724916412438,18.536155276618615,
31.75,4.0486978504174305,17.724237331568442,
32.0,3.5524276983215555,16.90196995669557,
32.25,3.1304287741803294,16.077753242343316,
32.5,2.774514668588526,15.259397801917292,
32.75,2.4764042835043876,14.453819938145577,
33.0,2.2281862758625968,13.666863681951845,
33.25,2.0226244331888332,12.903240357275912,
33.5,1.8533193369173502,12.166560498463612,
33.75,1.7147586246763102,11.45942750694567,
34.0,1.6022917854887548,10.783564970133567,
34.25,1.5120608910667555,10.139955731985971,
34.5,1.4409109212455489,9.52897792473227,
34.75,1.3862955141220386,8.950529315471814,
35.0,1.3461875725693706,8.404135879531054,
35.25,1.3189995775427878,7.889043558506342,
35.5,1.303515446668996,7.404293943540951,
35.75,1.298834079704095,6.948785582213471,
36.0,1.3043236387981223,6.521322627960587,
36.25,1.3195856806227197,6.120653473731315,
36.5,1.3444273545628358,5.745500421369433,
36.75,1.378840848737974,5.394582583083357,
37.0,1.4229888132977098,5.06663318402898,
37.25,1.4771948702847015,4.760412357156053,
37.5,1.5419385519886328,4.474716555280143,
37.75,1.617853918420801,4.2083850259707,
38.0,1.705731550602701,3.9603042424486175,
38.25,1.8065234447595238,3.7294105844025807,
38.5,1.921350566697624,3.5146917114655754,
38.75,2.051512839718903,3.3151869712508586,
39.0,2.1985013187315285,3.129986955604963,
39.25,2.364012436042343,2.958232531060194,
39.5,2.549964079510502,2.7991133973205344,
39.75,2.7585133057902134,2.651866321793384,
40.0,2.9920754417875104,2.515773171878507,
40.25,3.2533441532781056,2.39015874050859,
40.5,3.5453121237383867,2.2743885083983875,
40.75,3.8712916684747487,2.1678663353519525,
41.0,4.234934530797535,2.070032134459883,
41.25,4.640250016619806,1.9803595927533402,
41.5,5.091619934937347,1.8983539005597503,
41.75,5.593809193945878,1.8235495853074775,
42.0,6.151969942657102,1.7555084275850308,
42.25,6.771636962642523,1.6938174787429412,
42.5,7.458712588218399,1.6380872572988638,
42.75,8.219436918559648,1.587950034928657,
43.0,9.060341343416773,1.5430583113929202,
43.25,9.988181446507351,1.5030834429293194,
