k,alpha,stable
0.0,0.01,False
0.0,0.011077568505097092,False
0.0,0.012271252398511897,False
0.0,0.013593563908785255,False
0.0,0.015058363542798407,False
0.0,0.016681005372000592,False
0.0,0.018478497974222907,False
0.0,0.02046968271807521,False
0.0,0.02267543125870802,False
0.0,0.025118864315095794,False
0.0,0.027825594022071243,False
0.0,0.030823992397451434,False
0.0,0.034145488738336005,False
0.0,0.037824899063893865,False
0.0,0.04190079105786669,False
0.0,0.046415888336127795,False
0.0,0.051417518276839276,False
0.0,0.056958108107376865,False
0.0,0.06309573444801933,False
0.0,0.06989473207273486,False
0.0,0.0774263682681127,False
0.0,0.08576958985908942,False
0.0,0.0950118507318144,False
0.0,0.10525002852777332,False
0.0,0.11659144011798317,False
0.0,0.1291549665014884,False
0.0,0.14307229891937578,False
0.0,0.15848931924611134,False
0.0,0.17556762912750015,False
0.0,0.19448624389373625,False
0.0,0.21544346900318845,False
0.0,0.2386589786858581,False
0.0,0.26437611857491,False
0.0,0.29286445646252374,False
0.0,0.324422607917163,False
0.0,0.35938136638046275,False
0.0,0.3981071705534973,False
0.0,0.44100594541767385,False
0.0,0.4885273571519389,False
0.0,0.5411695265464638,False
0.0,0.5994842503189411,False
0.0,0.6640827850634842,False
0.0,0.7356422544596414,False
0.0,0.8149127469020745,False
0.0,0.9027251779484579,False
0.0,1.0,False
0.0,1.1077568505097097,False
0.0,1.2271252398511903,False
0.0,1.3593563908785256,False
0.0,1.5058363542798414,False
0.0,1.6681005372000592,False
0.0,1.8478497974222907,False
0.0,2.046968271807522,False
0.0,2.267543125870802,False
0.0,2.5118864315095797,False
0.0,2.782559402207126,False
0.0,3.0823992397451434,False
0.0,3.414548873833601,False
0.0,3.782489906389386,False
0.0,4.190079105786669,False
0.0,4.641588833612782,False
0.0,5.141751827683928,False
0.0,5.695810810737687,False
0.0,6.309573444801936,False
0.0,6.989473207273487,False
0.0,7.742636826811269,False
0.0,8.576958985908945,False
0.0,9.50118507318144,False
0.0,10.525002852777327,False
0.0,11.659144011798324,False
0.0,12.91549665014884,False
0.0,14.307229891937586,False
0.0,15.848931924611142,False
0.0,17.556762912750013,False
0.0,19.448624389373634,False
0.0,21.544346900318846,False
0.0,23.865897868585808,False
0.0,26.437611857491014,False
0.0,29.286445646252375,False
0.0,32.4422607917163,False
0.0,35.938136638046295,False
0.0,39.810717055349734,False
0.0,44.100594541767364,False
0.0,48.852735715193916,False
0.0,54.116952654646376,False
0.0,59.948425031894146,False
0.0,66.40827850634845,False
0.0,73.56422544596414,False
0.0,81.49127469020749,False
0.0,90.27251779484578,False
0.0,100.0,False
0.2222222222222222,0.01,True
0.2222222222222222,0.011077568505097092,True
0.2222222222222222,0.012271252398511897,True
0.2222222222222222,0.013593563908785255,True
0.2222222222222222,0.015058363542798407,True
0.2222222222222222,0.016681005372000592,True
0.2222222222222222,0.018478497974222907,True
0.2222222222222222,0.02046968271807521,True
0.2222222222222222,0.02267543125870802,True
0.2222222222222222,0.025118864315095794,True
0.2222222222222222,0.027825594022071243,True
0.2222222222222222,0.030823992397451434,True
0.2222222222222222,0.034145488738336005,True
0.2222222222222222,0.037824899063893865,True
0.2222222222222222,0.04190079105786669,True
0.2222222222222222,0.046415888336127795,True
0.2222222222222222,0.051417518276839276,True
0.2222222222222222,0.056958108107376865,True
0.2222222222222222,0.06309573444801933,True
