k,class,class_code,x_mean,x_min,x_max,x_amplitude,x_rel_amp,y_mean,y_min,y_max,y_amplitude,y_rel_amp,z_mean,z_min,z_max,z_amplitude,z_rel_amp
0.0,oscillatory_coexistence,1,59.77703870875404,1.1952360567735039,96.35309203373238,95.15785597695887,1.5918797256014539,9.415170868704804,1.2302254360454152,26.623423686647165,25.39319825060175,2.697051238337744,9.41969009815732,1.2303843835674153,26.62153285556282,25.391148471995404,2.6955396841518615
0.2,stable_coexistence,0,29.999995254156158,29.99964999059393,30.00048761173364,0.0008376211397091993,2.792070907388415e-05,5.000000991905943,4.999980626922924,5.000049311001155,6.868407823112932e-05,1.3736812921100586e-05,5.000000997713062,4.999980629315436,5.000049307297134,6.867798169807315e-05,1.3735593598778397e-05
0.4,stable_coexistence,0,29.99999975650311,29.99998252228141,30.000004097078268,2.1574796857493084e-05,7.191599010868761e-07,3.291561969668465,3.2915614962310893,3.291562966239057,1.470007967796505e-06,4.4659890390718296e-07,3.2915619698717125,3.2915614962802393,3.2915629806226887,1.4843424493982127e-06,4.5095382161559733e-07
0.6000000000000001,stable_coexistence,0,30.00000002889949,29.999999245477547,30.000003696401677,4.450924130594558e-06,1.4836413754356369e-07,2.5000000020614332,2.4999999115403977,2.500000076028704,1.6448830653104096e-07,6.57953225581633e-08,2.5000000020429036,2.4999999092157803,2.500000076026668,1.6681088776948627e-07,6.672435505326992e-08
0.8,stable_coexistence,0,30.00000001845685,29.999999699198135,30.000000548085016,8.488868807887684e-07,2.8296229342216972e-08,2.029344227523391,2.029344180087289,2.0293442350641726,5.497688349009877e-08,2.709096009659853e-08,2.0293442275140605,2.0293441800885583,2.0293442350637503,5.497519195429845e-08,2.7090126558589244e-08
1.0,stable_coexistence,0,29.999999991323552,29.999999237991712,30.000000101296337,8.633046242323417e-07,2.8776820816067407e-08,1.7134302207636471,1.7134302128924797,1.7134302392600171,2.6367537486748915e-08,1.5388743099790388e-08,1.7134302207674301,1.7134302128932064,1.713430239588375,2.6695168520163293e-08,1.5579956625375003e-08
1.2000000000000002,stable_coexistence,0,29.99999999115522,29.999999725427383,30.000000024674033,2.992466505702396e-07,9.974888355282175e-09,1.4852749861599028,1.4852749841621695,1.4852750022883503,1.812618077856598e-08,1.220392247056568e-08,1.4852749861632044,1.4852749841622503,1.4852750023758503,1.821359996156957e-08,1.2262779708301247e-08
1.4000000000000001,stable_coexistence,0,29.999999998701643,29.999999902528096,30.000000318947695,4.1641959924731964e-07,1.3880653308844722e-08,1.3121396093584135,1.3121396086060364,1.3121396155209852,6.914948835756718e-09,5.269979494893733e-09,1.312139609358818,1.3121396086060757,1.3121396155206426,6.914566919036247e-09,5.269688430802779e-09
1.6,stable_coexistence,0,30.000000002748564,29.999999961272337,30.00000031142008,3.50147743688467e-07,1.1671591455212897e-08,1.1759545670262048,1.1759545629831885,1.1759545693001519,6.31696339681298e-09,5.371775044666507e-09,1.1759545670253782,1.1759545628908366,1.1759545693000863,6.4092497975565266e-09,5.450252907107595e-09
1.8,stable_coexistence,0,30.000000004618848,29.999999982766195,30.00000024985106,2.670848644470425e-07,8.902828813530723e-09,1.0658668946621297,1.0658668885915885,1.0658668956626116,7.071023100380103e-09,6.6340582823163364e-09,1.0658668946608854,1.0658668885247409,1.0658668956625816,7.137840762894143e-09,6.696746843952875e-09
2.0,stable_coexistence,0,30.00000000459266,29.999999991616498,30.00000015108568,1.594691809714277e-07,5.315639364900493e-09,0.9749371854541404,0.9749371799652472,0.9749371859734574,6.008210151620119e-09,6.162663852873145e-09,0.9749371854530138,0.9749371799289158,0.9749371859734391,6.044523326309559e-09,6.199910534237042e-09
2.2,stable_coexistence,0,30.000000003596647,29.999999995611415,30.000000086495255,9.088384089750434e-08,3.029461362886948e-09,0.8985086255753267,0.898508621634483,0.8985086258808243,4.246341278602017e-09,4.7259883296980314e-09,0.8985086255745165,0.8985086216231586,0.8985086258808116,4.2576530079330155e-09,4.738577779607424e-09
2.4000000000000004,stable_coexistence,0,30.000000002265,29.999999973166805,30.000000052223704,7.905689969334162e-08,2.635229989579094e-09,0.8333333332538662,0.8333333309135228,0.8333333334465419,2.5330191277816994e-09,3.039622953627896e-09,0.8333333332533955,0.8333333309136577,0.8333333334465367,2.5328790176359917e-09,3.039454821454747e-09
2.6,stable_coexistence,0,30.00000000094823,29.99999991778579,30.000000032991014,1.1520522491537122e-07,3.8401741637243285e-09,0.7770735352497772,0.7770735338669659,0.7770735353735131,1.5065472203090735e-09,1.9387447287402697e-09,0.7770735352495963,0.7770735338670626,0.7770735353735094,1.5064468561476474e-09,1.9386155721591705e-09
2.8000000000000003,stable_coexistence,0,29.999999999809443,29.99999988302638,30.000000021669667,1.386432870731369e-07,4.621442902467251e-09,0.7280017179610928,0.7280017171033653,0.7280017181581836,1.0548183437819603e-09,1.4489228771824578e-09,0.7280017179611319,0.7280017171033946,0.7280017181797543,1.0763597790841573e-09,1.478512691012115e-09
3.0,stable_coexistence,0,29.99999999890455,29.999999864795864,30.000000014723426,1.4992756192100387e-07,4.997585397549283e-09,0.6848125640706245,0.6848125635127658,0.684812565011963,1.4991972108191476e-09,2.1892080979176278e-09,0.6848125640708167,0.6848125635127784,0.6848125650353477,1.522569292866649e-09,2.2233372644564935e-09
3.2,stable_coexistence,0,29.999999998233886,29.99999985894396,30.000000010304902,1.513609433345664e-07,5.045364778115903e-09,0.646500713847595,0.6465007134674494,0.6465007152630902,1.7956407472041747e-09,2.7774768205862697e-09,0.6465007138478851,0.646500713467469,0.646500715286077,1.8186080419368977e-09,2.813002372592576e-09
3.4000000000000004,stable_coexistence,0,29.999999997772882,29.99999986190421,30.000000007404076,1.454998646011063e-07,4.849995487063594e-09,0.6122788548474623,0.6122788545764414,0.6122788565292407,1.952799366655711e-09,3.189395405696659e-09,0.6122788548478074,0.6122788545764545,0.6122788565505208,1.9740663548262205e-09,3.2241295599158098e-09
3.6,stable_coexistence,0,29.999999997488047,29.999999870843634,30.000000005444836,1.3460120129593633e-07,4.4867067102402246e-09,0.5815213720791504,0.5815213718775187,0.5815213738750076,1.99748884099904e-09,3.434936249818794e-09,0.5815213720795195,0.5815213718775304,0.5815213738938835,2.0163530844996558e-09,3.467375717059507e-09
3.8000000000000003,stable_coexistence,0,29.999999997345316,29.999999883613313,30.000000004087966,1.2047465247633227e-07,4.015821749566434e-09,0.55372468178029,0.5537246816243827,0.5537246835832401,1.9588574096118805e-09,3.537601761427574e-09,0.5537246817806607,0.5537246816243862,0.5537246835994135,1.975027363876336e-09,3.5668039169304587e-09
4.0,stable_coexistence,0,29.999999997313697,29.999999898633494,30.000000003127088,1.044935942218217e-07,3.483119807705947e-09,0.5284787384781131,0.5284787383534527,0.5284787402159751,1.8625223585644335e-09,3.524308970173577e-09,0.5284787384784707,0.528478738353455,0.5284787402293978,1.8759427344861024e-09,3.5497033237081144e-09
4.2,stable_coexistence,0,29.999999997366675,29.999999914771628,30.000000002432564,8.766093628764793e-08,2.922031209844753e-09,0.5054461968555981,0.5054461967531043,0.5054461984820766,1.7289722986646439e-09,3.4206851479359215e-09,0.505446196855933,0.5054461967531058,0.5054461984928501,1.739744348583372e-09,3.441997109495013e-09
4.4,stable_coexistence,0,29.999999997482444,29.999999929975726,30.00000000192129,7.194556417289277e-08,2.398185472631011e-09,0.48434692496386395,0.4843469248776927,0.484346926451425,1.5737323111331136e-09,3.2491840662568943e-09,0.4843469249641705,0.4843469248776944,0.484346926459734,1.5820396104260226e-09,3.26633561376084e-09
4.6000000000000005,stable_coexistence,0,29.999999997643442,29.9999999418671,30.000000001538584,5.967148553054358e-08,1.9890495178410294e-09,0.4649463268126702,0.4649463267389627,0.4649463281470837,1.4081210086835938e-09,3.0285667989607144e-09,0.4649463268129453,0.46494632673896436,0.46494632815315345,1.4141890991581363e-09,3.041617962339731e-09
4.800000000000001,stable_coexistence,0,29.99999999783572,29.999999951223813,30.000000001247763,5.0023949427213665e-08,1.6674649810274177e-09,0.4470464212929226,0.4470464212290573,0.4470464224691861,1.240128777446614e-09,2.774049222584045e-09,0.44704642129316524,0.4470464212290586,0.44704642247325543,1.2441968566534456e-09,2.7831491258880255e-09
5.0,stable_coexistence,0,29.999999998048505,29.999999958677854,30.000000001023622,4.234576778117116e-08,1.4115255927975248e-09,0.4304789451938007,0.43047894513794555,0.43047894621315097,1.0752054246943032e-09,2.4976957333191883e-09,0.4304789451940112,0.43047894513794616,0.4304789462154562,1.0775100256488201e-09,2.5030493074712356e-09
