t,x,y
0,5.0,2.0
1,24.518744641633106,1.764993805169191
2,45.62933705832105,2.0874189490452895
3,29.26702468321921,3.3884358239941554
4,40.91337946872045,4.303263878597769
5,31.083907642990276,6.5082751574286455
6,36.134446579653606,8.493771099060854
7,30.744500948225145,11.957393400626515
8,30.869365917085627,15.526019530445582
9,27.674610823489907,20.197478798411506
10,25.301419755667713,25.045068628414057
11,22.520758060201224,29.970040819661236
12,19.871734332948655,34.39838495339696
13,17.527307117930622,37.94302260045742
14,15.62862295067897,40.40668477516948
15,14.231706773096876,41.82208629588905
16,13.319437297239963,42.38947845798478
17,12.827203647541232,42.380643692938904
18,12.664321478738422,42.06011043982279
19,12.727554901146972,41.640140513330564
20,12.912390573050464,41.26348389782818
21,13.126896776289463,41.00376125131646
22,13.305874613512614,40.8769875036565
23,13.418069680458014,40.86015452428028
24,13.462313141148268,40.912122647761024
25,13.455861709543438,40.991351831030144
26,13.421812546972138,41.06676016393496
27,13.380357231625661,41.121299667712364
28,13.344854791178903,41.15031515686828
29,13.321492486771742,41.15742744575128
30,13.310873527674438,41.1501180131457
31,13.310245045950417,41.13625699334415
32,13.315570713619204,41.122012974161784
33,13.32304384500939,41.11105791348082
34,13.329921247303393,41.10471322686447
35,13.334754764122167,41.10260948843446
36,13.337208279866195,41.10348586549667
37,13.337675224259259,41.10587504208113
38,13.336874821370332,41.108552287650205
39,13.335537070580243,41.11073612734718
40,13.334217753155245,41.11209510871512
41,13.333234511934103,41.1126405176104
42,13.33268864548733,41.112579575525636
43,13.332531060170062,41.1121820057424
44,13.332637545110687,41.1116872607147
45,13.33287093394735,41.11125818753665
46,13.333120363317152,41.11097304121739
47,13.333317569593868,41.11084171035825
48,13.333435839439366,41.11083198945043
49,13.333479151102932,41.110895201168574
50,13.333468303119323,41.11098512175258
51,13.333428718663468,41.111068352949786
52,13.333382231456381,41.11112717388427
53,13.33334320751241,41.11115732774965
54,13.333318138075942,41.111163416834046
55,13.33330734597503,41.11115404641447
56,13.333307496758927,41.11113802086324
57,13.33331395723006,41.11112208830168
58,13.333322483746352,41.11111013970321
59,13.33333010536348,41.111103449125274
60,13.333335322137472,41.11110145854428
61,13.333337857295396,41.11110268497323
62,13.333338211775963,41.11110547474936
63,13.333337214025246,41.11110848312201
64,13.333335678092585,41.11111087621527
65,13.333334208877906,41.111112322150156
66,13.333333140765877,41.111112862069334
67,13.333332568760914,41.111112743319396
68,13.333332425592555,41.11111227183306
69,13.333332566464284,41.11111171205957
70,13.333332837330921,41.11111123915698
71,13.333333116780837,41.11111093328883
72,13.33333333227808,41.111110799748126
73,13.333333457526775,41.11111079909739
74,13.333333499536636,41.111110875683345
75,13.33333348290554,41.11111097817538
76,13.333333436365022,41.111111070411575
77,13.333333383957044,41.11111113394778
78,13.333333341073235,41.11111116516574
79,13.33333331429145,41.111111169938674
80,13.333333303455012,41.11111115819618
81,13.333333304539863,41.11111113977122
82,13.333333312271465,41.111111122015245
83,13.333333321951056,41.11111110902709
84,13.333333330372847,41.11111110200802
85,13.333333335987742,41.111111100182384
86,13.333333338589629,41.11111110181927
87,13.333333338802166,41.11111110506065
88,13.333333337576462,41.11111110843309
89,13.333333335818917,41.11111111104969
90,13.333333334186431,41.11111111258246
91,13.333333333029156,41.11111111310854
92,13.33333333243297,41.111111112920966
93,13.33333333230927,41.11111111236574
94,13.333333332490126,41.11111111173424
95,13.33333333280301,41.111111111214264
96,13.333333333115299,41.11111111088723
97,13.333333333350208,41.11111111075277
98,13.333333333482294,41.11111111076318
99,13.333333333522155,41.11111111085504
100,13.333333333498699,41.111111110971486
101,13.333333333444303,41.11111111107346
102,13.333333333385381,41.11111111114189
103,13.33333333333837,41.11111111117398
104,13.333333333309863,41.11111111117709
105,13.333333333299116,41.111111111162614
106,13.333333333301324,41.11111111114151
107,13.333333333310502,41.11111111112177
108,13.333333333321457,41.11111111110769
109,13.333333333330744,41.111111111100364
110,13.33333333333677,41.111111111098765
111,13.33333333333942,41.11111111110088
112,13.33333333333945,41.111111111104634
113,13.333333333337963,41.11111111110841
114,13.333333333335956,41.11111111111126
115,13.333333333334144,41.111111111112876
116,13.333333333332895,41.11111111111338
117,13.333333333332279,41.11111111111311
118,13.333333333332178,41.11111111111246
119,13.333333333332412,41.11111111111175
120,13.33333333333277,41.11111111111118
121,13.333333333333117,41.11111111111083
122,13.333333333333371,41.111111111110695
123,13.33333333333351,41.11111111111072
124,13.333333333333549,41.11111111111083
125,13.333333333333513,41.111111111110965
126,13.333333333333448,41.11111111111107
127,13.333333333333389,41.11111111111114
128,13.333333333333336,41.11111111111118
129,13.333333333333304,41.11111111111118
130,13.333333333333295,41.11111111111116
131,13.3333333333333,41.111111111111136
132,13.333333333333309,41.111111111111114
133,13.333333333333321,41.1111111111111
134,13.333333333333334,41.11111111111109
135,13.33333333333334,41.11111111111109
136,13.333333333333343,41.11111111111109
137,13.333333333333343,41.11111111111109
138,13.333333333333343,41.11111111111109
139,13.333333333333343,41.11111111111109
140,13.333333333333343,41.11111111111109
141,13.333333333333343,41.11111111111109
142,13.333333333333343,41.11111111111109
143,13.333333333333343,41.11111111111109
144,13.333333333333343,41.11111111111109
145,13.333333333333343,41.11111111111109
146,13.333333333333343,41.11111111111109
147,13.333333333333343,41.11111111111109
148,13.333333333333343,41.11111111111109
149,13.333333333333343,41.11111111111109
150,13.333333333333343,41.11111111111109
151,13.333333333333343,41.11111111111109
152,13.333333333333343,41.11111111111109
153,13.333333333333343,41.11111111111109
154,13.333333333333343,41.11111111111109
155,13.333333333333343,41.11111111111109
156,13.333333333333343,41.11111111111109
157,13.333333333333343,41.11111111111109
158,13.333333333333343,41.11111111111109
159,13.333333333333343,41.11111111111109
160,13.333333333333343,41.11111111111109
161,13.333333333333343,41.11111111111109
162,13.333333333333343,41.11111111111109
163,13.333333333333343,41.11111111111109
164,13.333333333333343,41.11111111111109
165,13.333333333333343,41.11111111111109
166,13.333333333333343,41.11111111111109
