k1,k2,x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z,class
0.0,0.0,38.68902016893752,0.04688323916630724,74.80341031268631,74.75652707352,1.9322414149309028,0.7696050643831268,8.788843442802035e-07,10.018542402913779,10.018541524029434,13.017769746677446,2.590534942955235,1.0453948462639528,5.0806466312010095,4.035251784937056,1.557690544151532,low_density_risk
0.0,0.1,49.460389357238576,0.066089646782272,74.99977491247849,74.93368526569621,1.5150241686224832,1.2079650934922597,2.012272939069692e-12,25.81067710379329,25.81067710379128,21.367071981484617,3.925772053082474,0.8957834333060122,10.231881312907824,9.336097879601812,2.378155876948798,low_density_risk
0.0,0.2,46.16904932971463,0.0380730006018757,74.9996668290167,74.96159382841483,1.6236330380787711,1.2897338710492052,4.827552803435061e-12,24.07952457951145,24.079524579506614,18.670149803772407,3.387478246796621,0.7299231828675924,8.811586574080343,8.08166339121275,2.3857462107255785,low_density_risk
0.0,0.3,44.900169262703045,0.023400052361956,74.99970493310971,74.97630488074776,1.669844593281438,1.3213498990411967,6.958647863591853e-12,23.193671495284278,23.193671495277314,17.553012651750795,3.047603894869196,0.622633630254069,8.13673857741581,7.514104947161742,2.465577944630427,low_density_risk
0.0,0.4,17.431686372474797,5.0780940335184243e-17,74.99758209174551,74.99758209174551,4.30237100927681,0.8668377675497556,-2.4501572914579875e-12,32.15558248586525,32.155582485867704,37.09527167548674,1.3529648584975271,0.0627702198107933,7.779958063819495,7.717187844008702,5.703908564611918,low_density_risk
0.0,0.5,44.64932487196353,0.0121175058899277,74.99974962033214,74.9876321144422,1.6794796411698312,1.3458384134159684,1.6690052051991866e-11,22.219455994902123,22.219455994885436,16.509750184995937,2.650655427495849,0.5012480273788144,7.28516426280355,6.783916235424735,2.5593353874106293,low_density_risk
0.0,0.6000000000000001,27.2894173097623,1.9828848757281042e-19,74.9980392261638,74.9980392261638,2.748246266120598,1.6253370420408304,5.3597113083719155e-20,32.76858473316897,32.76858473316897,20.16110128887693,1.9330598584410277,0.0873014716592422,7.402727805236594,7.315426333577352,3.784376516655468,low_density_risk
0.0,0.7000000000000001,26.267521779379223,7.831018433319474e-17,74.99827366977618,74.99827366977618,2.855171275755796,1.470013847335918,1.1660751413724981e-18,31.21635313078813,31.21635313078813,21.23541433799401,2.010185379131701,0.1184544702193614,7.334938775687783,7.216484305468422,3.589959602920796,low_density_risk
0.0,0.8,25.47300984881348,5.852820946470047e-15,74.99848879001516,74.99848879001516,2.9442334940056414,1.3575135026445853,3.796421181502288e-18,29.546785762227707,29.546785762227707,21.76537154484693,1.9959970670009464,0.1441049204398171,7.182578881993765,7.038473961553947,3.526294741567916,low_density_risk
0.0,0.9,25.236143065896037,1.6809868932310853e-13,74.99862174906542,74.99862174906525,2.971873378322021,1.2716483859377894,3.193796769765548e-18,28.148120122722087,28.148120122722087,22.135143986316507,1.955925930309972,0.1645224490538529,6.991756623620184,6.827234174566331,3.490538199205157,low_density_risk
