x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z,k_fear,alpha_mem,class,continuation
58.727265796366794,1.1952459975812342,96.35308835229588,95.15784235471465,1.620334968167376,9.56287654644326,1.2302267020824738,26.62344388456439,25.39321718248192,2.6553952734989363,9.569358090287485,1.2303870401056272,26.621541320461183,25.391154280355558,2.653381140175317,0.0,10.0,oscillatory_coexistence,True
30.000000000012125,29.999999986501116,30.00000001338875,2.6887633453043236e-08,8.962544484343825e-10,4.999999999998644,4.999999999944871,5.000000000032346,8.747491619942593e-11,1.7494983239886433e-11,5.000000000146873,4.99999982278205,5.000000177208061,3.5442601031832055e-07,7.088520206156771e-08,0.2,10.0,stable_coexistence,True
29.99999999997004,29.999999986811527,30.000000013188128,2.6376600459343535e-08,8.792200153122999e-10,3.291561975888524,3.291561975877647,3.2915619758993464,2.169953106090361e-11,6.592472272997214e-12,3.2915619756232584,3.2915618590932243,3.2915620926807323,2.3358750800284156e-07,7.096555062085401e-08,0.4,10.0,stable_coexistence,True
30.0000000000159,29.99999998707282,30.000000012928982,2.585616343253605e-08,8.618721144173829e-10,2.4999999999999902,2.4999999999919194,2.50000000000808,1.616085043565363e-11,6.464340174258891e-12,2.500000000109162,2.49999991122649,2.50000008878606,1.77559569713992e-07,7.102382788246715e-08,0.6000000000000001,10.0,stable_coexistence,True
30.00000000001668,29.99999998727372,30.000000012727046,2.545332478121054e-08,8.484441593731847e-10,2.0293442287247405,2.0293442287182915,2.029344228731204,1.291233786560042e-11,6.362813012609642e-12,2.0293442288193213,2.0293441565969643,2.0293443008569763,1.4426001193612592e-07,7.108700923548379e-08,0.8,10.0,stable_coexistence,True
29.999999999985057,29.99999998742673,30.000000012575903,2.514917341045475e-08,8.383057803488813e-10,1.7134302209382872,1.7134302209328929,1.7134302209436658,1.0772938097147744e-11,6.287351515979515e-12,1.7134302208657561,1.71343015998285,1.7134302819061307,1.2192328058269197e-07,7.115742391949632e-08,1.0,10.0,stable_coexistence,True
30.000000000012776,29.99999998754565,30.000000012456205,2.4910555396218115e-08,8.303518465402226e-10,1.4852749859377183,1.4852749859330983,1.4852749859423464,9.248157795127554e-12,6.226562678750403e-12,1.4852749859919745,1.485274933052763,1.4852750388305784,1.05777815395669e-07,7.121766433368677e-08,1.2000000000000002,10.0,stable_coexistence,True
30.00000000001956,29.999999987637015,30.000000012362182,2.4725167691030947e-08,8.241722563671334e-10,1.3121396091048212,1.312139609100773,1.3121396091088817,8.108624882652293e-12,6.179696753593199e-12,1.312139609178827,1.312139562334348,1.3121396558722354,9.353788743560187e-08,7.128653596096314e-08,1.4000000000000001,10.0,stable_coexistence,True
30.000000000008534,29.999999987708822,30.00000001228817,2.457934655808458e-08,8.193115519358924e-10,1.175954566950063,1.1759545669464535,1.175954566953678,7.224443265840819e-12,6.1434714136719375e-12,1.1759545669792133,1.175954524985003,1.1759546089047557,8.39197527024993e-08,7.136309093811388e-08,1.6,10.0,stable_coexistence,True
30.00000000001634,29.999999987772487,30.00000001222539,2.4452901925542392e-08,8.15096730850942e-10,1.0658668946922865,1.0658668946890324,1.0658668946955503,6.517897332969369e-12,6.1151137777339046e-12,1.0658668947431196,1.0658668566299097,1.0658669327480577,7.611814800689842e-08,7.141430921838692e-08,1.8,10.0,stable_coexistence,True
30.000000000019714,29.999999987825138,30.000000012175658,2.435051982274672e-08,8.116839940909969e-10,0.974937185533095,0.9749371855301325,0.9749371855360669,5.934364111226387e-12,6.086919443918218e-12,0.97493718558951,0.9749371506934209,0.9749372203750566,6.96816356837715e-08,7.147294893831135e-08,2.0,10.0,stable_coexistence,True
30.000000000024553,29.999999987867504,30.00000001213249,2.4264984688215918e-08,8.088328229398417e-10,0.8985086256647522,0.8985086256620318,0.8985086256674825,5.450639939397206e-12,6.066318990937389e-12,0.8985086257298007,0.8985085935292408,0.8985086578001998,6.42709589993018e-08,7.153070895343615e-08,2.2,10.0,stable_coexistence,True
