fear_form,k_fear,x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z
rational,0.0,63.49708737241077,1.1961597273080777,96.35223458416817,95.1560748568601,1.4985896014216793,10.665563533295295,1.230453479337478,26.622152572306934,25.391699092969457,2.380718000853904,10.656160793036996,1.2303824478565029,26.621667505291132,25.39128505743463,2.3827798351188125
rational,0.16666666666666666,29.999928281088547,29.998594349878296,30.00062583109159,0.002031481213293773,6.771620232753415e-05,5.520393048208279,5.520299859486775,5.520588602345272,0.00028874285849767034,5.230476452964406e-05,5.520393147571935,5.520299797814853,5.520589244451116,0.00028944663626351286,5.243225048034293e-05
rational,0.3333333333333333,29.999998016857035,29.99993351275656,30.000018005506178,8.449274961819242e-05,2.8164251734521127e-06,3.6977649925852467,3.6977628528917093,3.6977686602577813,5.807366072030362e-06,1.5705070721567526e-06,3.697764994511602,3.6977627609140535,3.697768720892857,5.959978803371513e-06,1.6117786858321131e-06
rational,0.5,30.000000509300992,29.999996801088635,30.000015965842667,1.916475403263007e-05,6.388251235758388e-07,2.836995466417853,2.836994746917295,2.8369957983794984,1.0514622035273646e-06,3.7062526746108203e-07,2.8369954661008108,2.8369947426422693,2.8369958731434344,1.1305011651252528e-06,3.984853619377207e-07
rational,0.6666666666666666,30.000000072439356,29.99999473682393,30.000002123896536,7.3870726069458215e-06,2.4623575297028054e-07,2.3190908320732633,2.319090644565051,2.319090879713135,2.351480836715325e-07,1.013966682198511e-07,2.3190908320874577,2.3190905653518716,2.319090954102011,3.887501391908188e-07,1.6763040662824308e-07
rational,0.8333333333333333,29.999999802346615,29.999996747428472,30.000000416432403,3.6690039308950873e-06,1.2230013183560002e-07,1.968425440056722,1.9684254012732147,1.9684256291643791,2.2789116438381996e-07,1.157733281363897e-07,1.96842544012345,1.9684253318713423,1.9684256753797542,3.43508411937421e-07,1.7450923206707962e-07
rational,1.0,29.99999992226822,29.999999030211345,30.000001090591027,2.0603796819784748e-06,6.867932291056574e-08,1.7134302267325583,1.7134302127800758,1.7134302975733506,8.479327484600674e-08,4.9487439595164944e-08,1.713430226804347,1.7134301536398437,1.7134303512334998,1.9759365610383384e-07,1.1532051496035694e-07
rational,1.1666666666666665,30.000000044435662,29.999999648422623,30.000002263366603,2.6149439804612484e-06,8.716479921959786e-08,1.5188366844772534,1.5188366500068349,1.518836707347627,5.734079211450194e-08,3.775309926372992e-08,1.5188366844664147,1.5188366262560187,1.5188367583392985,1.320832798690219e-07,8.696345118589057e-08
rational,1.3333333333333333,30.000000087456137,29.99999985095556,30.000001652951784,1.8019962233495335e-06,6.006654060320953e-08,1.3650478130445134,1.3650477550940194,1.3650478232738255,6.817980602313867e-08,4.994682631007989e-08,1.365047812989778,1.3650477328814188,1.3650478708215377,1.3794011888279556e-07,1.0105149253385708e-07
rational,1.5,30.000000076959626,29.999999930110214,30.000000847963125,9.178529118969436e-07,3.0595096984744194e-08,1.2402254158059427,1.2402253703990707,1.2402254217540565,5.1354985819429544e-08,4.140778375035625e-08,1.2402254157876171,1.2402253496248115,1.2402254653884193,1.1576360781084816e-07,9.334078010104157e-08
rational,1.6666666666666665,30.00000004522234,29.99999975164747,30.00000045229609,7.006486200111794e-07,2.335495396516635e-08,1.136761993660958,1.1367619690981718,1.136761997451948,2.8353776215794824e-08,2.4942579338403233e-08,1.1367619936226916,1.1367619323506184,1.1367620374509568,1.051003384322513e-07,9.24558870034172e-08
rational,1.8333333333333333,30.000000011458646,29.999999204155827,30.000000263785253,1.0596294259812566e-06,3.5320980852549695e-08,1.0495295466056056,1.0495295338239763,1.0495295489379541,1.5113977847036608e-08,1.4400716869671673e-08,1.0495295465861396,1.049529497542661,1.049529585546518,8.800385709051284e-08,8.385076663795106e-08
rational,2.0,29.999999983978142,29.999998946266867,30.000000165290167,1.2190233000808348e-06,4.063411002439427e-08,0.9749371847307711,0.9749371774677483,0.9749371929487154,1.5480967063830064e-08,1.5878937952386395e-08,0.9749371847563493,0.9749371437986009,0.9749372245120141,8.07134132863041e-08,8.278832169725145e-08
rational,2.1666666666666665,29.999999964968637,29.999998881498485,30.000000101999596,1.2205011117316644e-06,4.068337043856059e-08,0.9103908303482501,0.9103908257763014,0.9103908461301895,2.0353888130486553e-08,2.2357307929692416e-08,0.9103908303426811,0.9103907939934706,0.9103908704481645,7.645469390915594e-08,8.398007906153182e-08
rational,2.333333333333333,29.99999995393039,29.999998960851084,30.00000007388213,1.1130310468843163e-06,3.710103495311698e-08,0.8539672083751185,0.8539672051861393,0.85396722749988,2.2313740632995405e-08,2.6129505224710705e-08,0.8539672084063491,0.8539671749934504,0.853967247529223,7.253577261057131e-08,8.493976337317531e-08
rational,2.5,29.999999949265305,29.999999110723518,30.000000052955695,9.422321767260655e-07,3.140773927731654e-08,0.8042086623417313,0.8042086599120305,0.8042086819570904,2.2045059888675667e-08,2.7412114443602795e-08,0.8042086623127417,0.8042086316644408,0.8042087074846997,7.582025896013533e-08,9.427933633790677e-08
rational,2.6666666666666665,29.999999949380776,29.99999930708683,30.000000040792816,7.337059848566696e-07,2.4456866203154426e-08,0.7599893567437697,0.7599893547775399,0.759989375088271,2.0310731096984114e-08,2.6725020444997033e-08,0.7599893567531656,0.7599893276682527,0.7599893964320205,6.876376779096915e-08,9.04799089353724e-08
rational,2.833333333333333,29.999999952755363,29.999999484744865,30.000000030761317,5.460164516080113e-07,1.8200548415595713e-08,0.7204253516332007,0.720425349980973,0.7204253677424545,1.7761481507783117e-08,2.4654159473279604e-08,0.7204253516590517,0.7204253246538619,0.7204253916036175,6.6949755628265e-08,9.293087128873927e-08
rational,3.0,29.999999958214886,29.999999598394474,30.000000026914215,4.2851974058066844e-07,1.4283991372583747e-08,0.6848125649136841,0.6848125635001162,0.6848125783500152,1.4849898977153941e-08,2.168461815387979e-08,0.6848125649377983,0.6848125395062147,0.6848126011908491,6.168463440037186e-08,9.007520825188805e-08
rational,3.1666666666666665,29.99999996486271,29.99999969020276,30.000000022300735,3.320979757859277e-07,1.1069932539162802e-08,0.6525829871410493,0.65258298592589,0.652582997804407,1.1878516947838591e-08,1.8202308644085086e-08,0.6525829871230258,0.6525829629077645,0.6525830193738923,5.646612777354676e-08,8.652712204833371e-08
rational,3.333333333333333,29.999999972122005,29.999999746886893,30.00000008642864,3.3954174583072927e-07,1.1318058204874759e-08,0.623273151895121,0.6232731508525539,0.623273159957066,9.10451214419794e-09,1.4607579544378259e-08,0.623273151913844,0.6232731286437626,0.623273180185768,5.154200544144061e-08,8.26956933458328e-08
rational,3.5,29.999999979480013,29.99999979725896,30.00000022971167,4.32452711862652e-07,1.4415090405281169e-08,0.5965010229193903,0.5965010220318909,0.5965010290537478,7.021856873734578e-09,1.1771743222428174e-08,0.5965010229210667,0.5965010006477571,0.5965010502357176,4.958796051557357e-08,8.313139225253647e-08
rational,3.6666666666666665,29.999999986679175,29.99999983182364,30.000000353469193,5.21645553419603e-07,1.738818512170702e-08,0.5719487788801625,0.5719487781326436,0.571948783624473,5.491829435655404e-09,9.601960242660956e-09,0.5719487788863103,0.5719487575945803,0.5719488041776796,4.658309926686144e-08,8.144627803469721e-08
rational,3.833333333333333,29.999999993514777,29.999999862136153,30.000000445284968,5.831488145702224e-07,1.943829382320882e-08,0.5493498055762758,0.5493498049559998,0.5493498093074785,4.351478621877902e-09,7.921143463963218e-09,0.5493498055821635,0.5493497852992152,0.5493498285388823,4.323966706909488e-08,7.871062596116461e-08
rational,4.0,29.999999999889035,29.999999884874384,30.000000540484674,6.556102896126959e-07,2.1853676320503302e-08,0.5284787388559837,0.5284787383508478,0.5284787418399237,3.489075917073592e-09,6.602112176962717e-09,0.5284787388822718,0.5284787193332214,0.5284787605227875,4.118956609122648e-08,7.79398735666531e-08
exponential,0.0,63.49708737241077,1.1961597273080777,96.35223458416817,95.1560748568601,1.4985896014216793,10.665563533295295,1.230453479337478,26.622152572306934,25.391699092969457,2.380718000853904,10.656160793036996,1.2303824478565029,26.621667505291132,25.39128505743463,2.3827798351188125
exponential,0.16666666666666666,29.99999633286395,29.99971556688862,30.000112750139383,0.00039718325076165684,1.3239443310416115e-05,4.435933282449952,4.435920840523447,4.435941557192851,2.0716669403952892e-05,4.6701940910406276e-06,4.435933286907561,4.435920748287872,4.435941988444417,2.1240156544699573e-05,4.788204684543851e-06
exponential,0.3333333333333333,30.00000050687645,29.999997987496343,30.00000811549456,1.0127998216091783e-05,3.37599934832333e-07,2.691859506507863,2.6918588438503592,2.6918596957035623,8.518532030876713e-07,3.1645529829023653e-07,2.691859506133042,2.691858787144757,2.691859767567594,9.804228371379509e-07,3.642176848025776e-07
exponential,0.5,29.999999834907715,29.99999645657301,30.000000705952857,4.2493798453335785e-06,1.416459956239366e-07,1.9464695025922476,1.9464694561325961,1.9464696601102773,2.0397768119018167e-07,1.0479366921414681e-07,1.946469502718542,1.9464693971154128,1.9464697197563847,3.2264097193923647e-07,1.6575701365392742e-07
exponential,0.6666666666666666,29.99999995797096,29.999999157742366,30.00000133413772,2.1763953554909676e-06,7.254651195133185e-08,1.5278434613297884,1.5278434508783418,1.5278435038469649,5.296862304327021e-08,3.466888093177639e-08,1.5278434613943181,1.5278433966473173,1.527843557665668,1.6101835065285286e-07,1.053892985252568e-07
exponential,0.8333333333333333,30.00000003465012,29.999999686801026,30.00000164964152,1.962840492808482e-06,6.54280163513776e-08,1.2586067729742243,1.2586067511709302,1.2586067860171695,3.484623922744845e-08,2.7686359215337225e-08,1.2586067729289359,1.2586067258305542,1.25860682657279,1.0074223588674158e-07,8.00426614996054e-08
exponential,1.0,30.000000049773337,29.999999845883938,30.000001011087257,1.165203318720387e-06,3.884011055957154e-08,1.0705445522553199,1.0705445262924558,1.0705445581057649,3.181330909818314e-08,2.9716940814029845e-08,1.0705445522981536,1.070544492816873,1.0705445940097342,1.0119286120158222e-07,9.452466128967309e-08
exponential,1.1666666666666665,30.00000004207897,29.999999914726416,30.000000589422086,6.746956699998918e-07,2.2489855635117313e-08,0.9316175878225167,0.9316175689214029,0.9316175911271057,2.2205702832067686e-08,2.3835641493142655e-08,0.9316175877713558,0.9316175396089673,0.9316176239808838,8.437191645338515e-08,9.056496738659869e-08
exponential,1.3333333333333333,30.000000029154478,29.999999890870207,30.000000390851604,4.999813967287992e-07,1.6666046541429753e-08,0.8247335921632815,0.8247335806162586,0.824733594266015,1.3649756436251437e-08,1.655050378199279e-08,0.8247335921418012,0.8247335564133719,0.8247336232920002,6.687862830201396e-08,8.109118985714122e-08
exponential,1.5,30.000000016842883,29.99999965110959,30.000000278971953,6.278623629896174e-07,2.0928745421236535e-08,0.739923200324793,0.7399231931267787,0.7399232017521589,8.625380187865517e-09,1.1657128988613557e-08,0.7399232003610458,0.7399231671474487,0.7399232279126198,6.076517111708313e-08,8.212361916392218e-08
exponential,1.6666666666666665,30.000000006567262,29.999999458734184,30.000000209804707,7.510705231084103e-07,2.5035684098132312e-08,0.6709727176011053,0.6709727127658918,0.6709727186021368,5.8362450428006696e-09,8.698185320646124e-09,0.6709727175676423,0.6709726906467142,0.6709727426179124,5.197119823385776e-08,7.745649990387422e-08
exponential,1.8333333333333333,29.99999999857513,29.999999374808997,30.00000016019672,7.853877228569672e-07,2.6179590763141453e-08,0.6138048597801931,0.6138048563334191,0.6138048604945572,4.161138100755579e-09,6.77925245205606e-09,0.6138048597547876,0.6138048346374642,0.6138048821453884,4.75079242612253e-08,7.739906829692928e-08
