k_fear,alpha_mem,x_mean,y_mean,z_mean,x_min,x_max,y_min,y_max,z_min,z_max,x_amp,y_amp,z_amp,relative_amp_x,relative_amp_y,class,class_code
0.0,0.01,60.333123394636274,9.818616613150674,9.704704613425376,1.1968601473185307,96.35297127694577,1.2302502733369294,26.623473833475405,8.544085074433488,11.355944398067894,95.15611112962723,25.393223560138477,2.8118593236344065,1.5771786006703774,2.58623231363624,oscillatory_coexistence,1
0.2,0.01,29.999999999999588,5.000000000000212,4.99999999999986,29.9999999999917,30.000000000000007,5.000000000000028,5.000000000004277,4.999999999997136,4.999999999999971,8.306244581035571e-12,4.248157381425699e-12,2.8350655156827997e-12,2.76874819367847e-13,8.496314762849338e-13,stable_coexistence,0
0.4,0.01,30.0,3.2915619758884853,3.291561975888632,29.99999999999839,30.00000000000633,3.291561975888447,3.2915619758889787,3.2915619758882873,3.291561975888523,7.94031507211912e-12,5.31574784190525e-13,2.3581137043038325e-13,2.6467716907062853e-13,1.6149621003167544e-13,stable_coexistence,0
0.6000000000000001,0.01,30.00000000354005,2.500000002473444,2.499999999219606,29.999999853517775,30.000000602172896,2.4999999832324,2.5000000430432827,2.499999973975452,2.5000000039901735,7.486551218960358e-07,5.981088291306946e-08,3.00147213749824e-08,2.4955170726922278e-08,2.3924353141547993e-08,stable_coexistence,0
0.8,0.01,29.999997327934143,2.029344744552108,2.029344257509691,29.99995403811739,30.000031302370957,2.0293417620792105,2.0293558737409367,2.029340366812339,2.0293457897762655,7.72642535658008e-05,1.411166172626821e-05,5.422963926360325e-06,2.575475348254599e-06,6.953802090130235e-06,stable_coexistence,0
1.0,0.01,30.000027727337027,1.7134204794486088,1.7134305861998584,29.998689871339757,30.00075260479854,1.7132650208612508,1.7134728890663178,1.7134030788120085,1.713510685226505,0.002062733458782162,0.00020786820506701886,0.00010760641449647501,6.87577184104554e-05,0.00012131768445641028,stable_coexistence,0
1.2000000000000002,0.01,29.999607879453716,1.485329129235034,1.4852847053528462,29.993536583813725,30.00391045035962,1.4849068233878693,1.4865228886077868,1.4849231652391384,1.485508376835417,0.010373866545894117,0.0016160652199175285,0.0005852115962785565,0.00034580007137355545,0.0010880182635001157,oscillatory_coexistence,1
1.4000000000000001,0.01,30.001899750606317,1.3121351226408964,1.3120597740485207,29.988133336930904,30.036467468266213,1.3071918335186505,1.3141825841264438,1.3108528207083576,1.3125580021397902,0.048334131335309394,0.006990750607793306,0.001705181431432612,0.0016110356923091508,0.0053277673062496,oscillatory_coexistence,1
1.6,0.01,30.0006847141417,1.175401934503551,1.1759887492436027,29.886317385238744,30.05442745090896,1.1675340859319823,1.1789163797792563,1.1741016689079278,1.1806329600244825,0.16811006567021636,0.011382293847274072,0.006531291116554705,0.005603540961549027,0.009683746055830575,oscillatory_coexistence,1
1.8,0.01,29.988111045678952,1.0660362074389853,1.0662902890642576,29.797885539793,30.075058946882944,1.055307616810663,1.0915945612659281,1.0634158359232533,1.072457990307442,0.2771734070899434,0.03628694445526515,0.00904215438418876,0.00924277646790536,0.03403912944233462,oscillatory_coexistence,1
2.0,0.01,29.991953314394365,0.9769488623899101,0.9750531304766706,29.749469137271475,30.39879287649181,0.9623415180558121,1.0078678168587616,0.9598679077005953,0.9827620952795922,0.6493237392203355,0.04552629880294945,0.022894187578996972,0.021649931647122058,0.046600493183984945,oscillatory_coexistence,1
2.2,0.01,30.028905096935055,0.8999370969336233,0.8974765687734957,29.700314098631537,30.74356049850215,0.8500841243921722,0.935018383759261,0.8763625679283273,0.9074679419952655,1.0432463998706112,0.08493425936708887,0.03110537406693814,0.03474140653823096,0.09437799559146187,oscillatory_coexistence,1
