k_vals,prey,predator
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.0,13.333333333333343,41.11111111111109
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
0.10050251256281408,13.33333333333333,9.158496335179345
