t,x,y
0.0,4.0,0.5
0.25,3.943317164855154,0.5018534219346982
0.5,3.886998005067869,0.503588128056515
0.75,3.8310487351090994,0.5052011079987574
1.0,3.7753983231201156,0.5066893118877844
1.25,3.7200622589627494,0.5080496605680211
1.5,3.665056293120897,0.5092791503618821
1.75,3.6103964165051687,0.5103748623540338
2.0,3.556098838314587,0.5113339719185946
2.25,3.502179958359956,0.5121537584561923
2.5,3.4486563379220114,0.512831615303841
2.75,3.3955446691718243,0.5133650597814645
3.0,3.342861743193646,0.5137517433349852
3.25,3.290624416663781,0.5139894617319803
3.5,3.2388495772528962,0.514076165262026
3.75,3.1875541078334915,0.514009968890049
4.0,3.1367548495889905,0.513789162307357
4.25,3.0864685641358607,0.5134122198215645
4.5,3.036711894785215,0.5128778100234518
4.75,2.9875013270853064,0.51218480516595
5.0,2.938853148800951,0.5113322901880075
5.25,2.8907834095000844,0.5103195713141381
5.5,2.8433078799310145,0.5091461841590436
5.75,2.796442011386396,0.5078119012659217
6.0,2.750200895261124,0.5063167390069735
6.25,2.7045992230211118,0.504660963775279
6.5,2.659651246807952,0.5028450973986707
6.75,2.615370740910574,0.5008699217085428
7.0,2.571770964338983,0.4987364821997323
7.25,2.528864624736792,0.49644609072170887
7.5,2.4866638438683877,0.4940003271463333
7.75,2.445180124913036,0.49140103996336926
8.0,2.4044243217920056,0.4886503457617432
8.25,2.364406610745728,0.48575062756219584
8.5,2.325136464366196,0.48270453197539415
8.75,2.286622628275219,0.47951496516869463
9.0,2.2488731006219553,0.4761850876344689
9.25,2.2118951145534167,0.47271830776310486
9.5,2.1756951237896716,0.469118274234352
9.75,2.140278791411451,0.4653888672514398
10.0,2.1056509819421327,0.4615341886532156
10.25,2.0718157567789737,0.4575585509502511
10.5,2.0387763730003483,0.4534664653412999
10.75,2.0065352855470766,0.44926262877647477
11.0,1.9750941527470587,0.4449519101428987
11.25,1.9444538451238622,0.4405393356572067
11.5,1.9146144574020365,0.436030073556996
11.75,1.885575323595173,0.43142941819000946
12.0,1.8573350350375188,0.42674277360538115
12.25,1.8298914611966113,0.42197563675558614
12.5,1.8032417730833088,0.41713358042074794
12.75,1.7773824690569828,0.4122222359686329
13.0,1.7523094028077786,0.4072472760639775
13.25,1.7280178132848942,0.4022143974397701
13.5,1.7045023563298967,0.39712930384077344
13.75,1.6817571377672356,0.3919976892459898
14.0,1.6597757477003299,0.38682522147202275
14.25,1.6385512957608241,0.3816175262534712
14.5,1.6180764470607223,0.3763801718897311
14.75,1.598343458601948,0.37111865454000165
15.0,1.5793442159052387,0.3658383842400405
15.25,1.561070269629927,0.3605446717054379
15.5,1.5435128719678148,0.35524271597702334
15.75,1.5266630126077267,0.3499375929546427
16.0,1.5105114540821398,0.3446342448560835
16.25,1.4950487663232148,0.3393374706285249
16.5,1.4802653602723048,0.33405191733067713
16.75,1.4661515204043023,0.32878207249486546
17.0,1.4526974360457119,0.3235322574698143
17.25,1.4398932313828618,0.31830662173688645
17.5,1.427728994073943,0.31310913818510505
17.75,1.4161948023953828,0.3079435993234897
18.0,1.4052807508692382,0.3028136144031204
18.25,1.3949769743336755,0.2977226074159287
18.5,1.385273670433055,0.29267381593252334
18.75,1.3761611205175688,0.28767029073738565
19.0,1.367629708954714,0.2827148962165154
19.25,1.359669940866065,0.2778103114500414
19.5,1.3522724583128252,0.272959031960413
19.75,1.345428054962477,0.2681633720655171
20.0,1.3391276892765331,0.2634254677853812
20.25,1.3333624962659378,0.25874728025097593
20.5,1.328123797866138,0.2541305995639793
20.75,1.3234031119882794,0.249577049057145
21.0,1.3191921603064487,0.24508808990609043
21.25,1.3154828748434575,0.24066502604482437
21.5,1.3122674034194117,0.23630900933912266
21.75,1.3095381140283053,0.2320210449738843
22.0,1.3072875982082095,0.22780199701281237
22.25,1.30550867347036,0.22365259409112043
22.5,1.3041943848516568,0.21957343520442507
22.75,1.3033380056538513,0.21556499555951364
23.0,1.3029330374310801,0.2116276324552367
23.25,1.3029732092854633,0.20776159116433993
23.5,1.3034524765282907,0.2039670107895932
23.75,1.3043650187619185,0.20024393007007157
24.0,1.3057052374349478,0.1965922931158765
24.25,1.3074677529205854,0.19301195505193836
24.5,1.309647401165359,0.18950268755379948
24.75,1.3122392299525896,0.18606418426043284
25.0,1.3152384948222506,0.1826960660511928
25.25,1.3186406546860938,0.17939788617592065
25.5,1.3224413671742203,0.17616913522903022
25.75,1.3266364837466367,0.1730092459600799
26.0,1.3312220446007716,0.169917597914895
26.25,1.336194273403469,0.16689352190273793
26.5,1.3415495718736041,0.16393630428634026
26.75,1.347284514239216,0.1610451910928071
